family	symbol	arguments	kind	raw_value	numeric_value_decimal	source_line
C	RTL8367C_PTP_PORT0_CFG1_OFFSET		OFFSET_SHIFT	7	7	147
C	RTL8367C_PTP_PORT0_CFG1_MASK		MASK	0xFF	255	148
C	RTL8367C_REG_P0_MSIC1		REGISTER	0x001f	31	150
C	RTL8367C_P0_MSIC1_OFFSET		OFFSET_SHIFT	0	0	151
C	RTL8367C_P0_MSIC1_MASK		MASK	0x1	1	152
C	RTL8367C_REG_PORT1_CGST_HALF_CFG		REGISTER	0x0020	32	154
C	RTL8367C_PORT1_CGST_HALF_CFG_CONGESTION_TIME_OFFSET		OFFSET_SHIFT	4	4	155
C	RTL8367C_PORT1_CGST_HALF_CFG_CONGESTION_TIME_MASK		MASK	0xF0	240	156
C	RTL8367C_PORT1_CGST_HALF_CFG_CONGESTION_SUSTAIN_TIME_OFFSET		OFFSET_SHIFT	0	0	157
C	RTL8367C_PORT1_CGST_HALF_CFG_CONGESTION_SUSTAIN_TIME_MASK		MASK	0xF	15	158
C	RTL8367C_REG_PKTGEN_PORT1_CTRL		REGISTER	0x0021	33	160
C	RTL8367C_PKTGEN_PORT1_CTRL_STATUS_OFFSET		OFFSET_SHIFT	15	15	161
C	RTL8367C_PKTGEN_PORT1_CTRL_STATUS_MASK		MASK	0x8000	32768	162
C	RTL8367C_PKTGEN_PORT1_CTRL_PKTGEN_STS_OFFSET		OFFSET_SHIFT	13	13	163
C	RTL8367C_PKTGEN_PORT1_CTRL_PKTGEN_STS_MASK		MASK	0x2000	8192	164
C	RTL8367C_PKTGEN_PORT1_CTRL_CRC_NO_ERROR_OFFSET		OFFSET_SHIFT	4	4	165
C	RTL8367C_PKTGEN_PORT1_CTRL_CRC_NO_ERROR_MASK		MASK	0x10	16	166
C	RTL8367C_PKTGEN_PORT1_CTRL_CMD_START_OFFSET		OFFSET_SHIFT	0	0	167
C	RTL8367C_PKTGEN_PORT1_CTRL_CMD_START_MASK		MASK	0x1	1	168
C	RTL8367C_REG_TX_ERR_CNT_PORT1		REGISTER	0x0022	34	170
C	RTL8367C_TX_ERR_CNT_PORT1_OFFSET		OFFSET_SHIFT	0	0	171
C	RTL8367C_TX_ERR_CNT_PORT1_MASK		MASK	0x7	7	172
C	RTL8367C_REG_PKTGEN_PORT1_DA0		REGISTER	0x0023	35	174
