symbol	arguments	value_or_expression	source_line
RTL_RTK_SWTACR		(RTL_RTK_SWCORE_TACI_BASE + 0x000)	284
RTL_RTK_SWTASR		(RTL_RTK_SWCORE_TACI_BASE + 0x004)	285
RTL_RTK_SWTAA		(RTL_RTK_SWCORE_TACI_BASE + 0x008)	286
RTL_RTK_TCR0		(RTL_RTK_SWCORE_TACI_BASE + 0x020)	287
RTL_RTK_TCR1		(RTL_RTK_SWCORE_TACI_BASE + 0x024)	288
RTL_RTK_TCR2		(RTL_RTK_SWCORE_TACI_BASE + 0x028)	289
RTL_RTK_TCR3		(RTL_RTK_SWCORE_TACI_BASE + 0x02c)	290
RTL_RTK_TCR4		(RTL_RTK_SWCORE_TACI_BASE + 0x030)	291
RTL_RTK_TCR5		(RTL_RTK_SWCORE_TACI_BASE + 0x034)	292
RTL_RTK_TCR6		(RTL_RTK_SWCORE_TACI_BASE + 0x038)	293
RTL_RTK_TCR7		(RTL_RTK_SWCORE_TACI_BASE + 0x03c)	294
RTL_RTK_TCR8		(RTL_RTK_SWCORE_TACI_BASE + 0x040)	295
RTL_RTK_TCR9		(RTL_RTK_SWCORE_TACI_BASE + 0x044)	296
RTL_RTK_TCR10		(RTL_RTK_SWCORE_TACI_BASE + 0x048)	297
RTL_RTK_TACI_ACTION_START		BIT(0)	298
RTL_RTK_TACI_ACTION_MASK		BIT(0)	299
RTL_RTK_TACI_CMD_FORCE		BIT(3)	300
RTL_RTK_TACI_TABSTS_FAIL		BIT(0)	301
RTL_RTK_ASICTBL_BASE_KSEG1		0xbb000000	302
RTL_RTK_ASICTBL_ENTRY_LEN		32	303
RTL_RTK_ASICTBL_TYPE_L2		0	304
RTL_RTK_ASICTBL_TYPE_NETIF		4	305
RTL_RTK_ASICTBL_TYPE_VLAN		6	306
RTL_RTK_ASICTBL_TYPE_ACL		12	307
RTL_RTK_RD05_HOST_PORT		0	315
RTL_RTK_RD05_HOST_MBR		BIT(RTL_RTK_RD05_HOST_PORT)	316
RTL_RTK_RD05_OEM_WAN_VID		8	317
RTL_RTK_SWCORE_MSCR		0x4410	320
RTL_RTK_SWCORE_SWTCR0		0x4418	321
RTL_RTK_SWCORE_SWTCR1		0x441c	322
RTL_RTK_SWCORE_PLITIMR		0x4420	323
RTL_RTK_SWCORE_DACLRCR		0x4424	324
RTL_RTK_SWCORE_FFCR		0x4428	325
RTL_RTK_SWCORE_PVCR0		0x4a08	326
RTL_RTK_SWCORE_PTRAPCR		0x7024	327
RTL_RTK_DACLRCR_ACLI_STA	(v)	((v) & 0xff)	328
RTL_RTK_DACLRCR_ACLI_END	(v)	(((v) & 0xff) << 8)	329
RTL_RTK_DACLRCR_ACLO_STA	(v)	(((v) & 0xff) << 16)	330
RTL_RTK_DACLRCR_ACLO_END	(v)	(((v) & 0xff) << 24)	331
RTL_RTK_DACLRCR_ING_0_4_EG_253		\	332
RTL_RTK_PTRAPCR_EN_ARP_TRAP		BIT(24)	335
RTL_RTK_PTRAPCR_EN_PPPOE_TRAP		BIT(26)	336
RTL_RTK_PTRAPCR_EN_DHCP67_TRAP		BIT(28)	337
RTL_RTK_PTRAPCR_EN_DHCP68_TRAP		BIT(29)	338
RTL_RTK_PTRAPCR_RD05_TRAPS		\	339
RTL_RTK_MSCR_EN_L2		BIT(0)	342
RTL_RTK_MSCR_EN_L3		BIT(1)	343
RTL_RTK_MSCR_EN_IN_ACL		BIT(4)	344
RTL_RTK_SWTCR0_LIMDBC_MASK		GENMASK(17, 16)	345
RTL_RTK_SWTCR0_LIMDBC_VLAN		0	346
RTL_RTK_SWTCR0_EN_UKVID_TO_CPU		BIT(15)	347
RTL_RTK_SWTCR1_SEL_CPU_REASON		BIT(8)	348
RTL_RTK_SWTCR1_EN_NATT2LOG		BIT(10)	349
RTL_RTK_SWTCR1_EN_FRAG_TO_ACLPT		BIT(11)	350
RTL_RTK_FFCR_EN_UNK_MCAST_TOCPU		BIT(0)	351
RTL_RTK_FFCR_EN_UNK_UCAST_TOCPU		BIT(1)	352
RTL_RTK_ACL_ACTION_PERMIT		0x0	353
RTL_RTK_ACL_ACTION_TOCPU		0x3	354
RTL_RTK_ACL_TYPE_ETHERNET		0x0	355
RTL_RTK_ACL_TYPE_UDP		0x7	356
RTL_RTK_ACL_TYPE_SRCFILTER		0x8	357
RTL_RTK_ACL_PKT_OP_ALL		0x7	358
RTL_RTK_RD05_LAN_VID		9	359
RTL_RTK_RD05_LAN_FID		0	360
