quelle,pfad,groesse_bytes,sha256
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FPhyCfg.c,2414,51b22ce78fefcd2075a3ff924f502af64c86a1b5c461c8f458dc0dfe7cfe7744
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FPhyCfg.h,1138,ec78545263b656168d22adc1013328e2911701c3321fe0aa4ef5c4a768c4668a
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FPwrSeqCmd.c,2681,3c177b26c3ebc859ccfe0054fa9ab1aee1cdf24327bd2a6ac35146f6201bd2aa
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FPwrSeqCmd.h,17816,90fa5069365e6ebf273010b1e530c235328e087497d756782f707a5a7bd39c3d
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FReg.h,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FRxDesc.c,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FRxDesc.h,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FTxDesc.c,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FTxDesc.h,592,c82d67bcaee3b0caea0503dd1427e91dbf0ff5ed7cc46c9c1ee76ee706717d87
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FVerify.c,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
