path,category,size_bytes,keywords,sha256_small_files
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/Version.txt,wlan_backports_8197f,58,,1d4b3199d8fae29397f59844345c3f080a8e62d374c838df45866f3e7a330065
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/rtl8197Ffw.bin,wlan_backports_8197f,56080,,61d6ef42cd8ff6af6c83649fdf18ea654abc9a62a43cc12f9369a2732a509515
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FCfg.h,wlan_backports_8197f,2647,8197F,17f2632fdb74c3c7c4bf764f192de9d826f79680556111dbce05f39cf165a993
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FDef.h,wlan_backports_8197f,6462,8197F RTL8197F rtl8197F,d9e03fc6706b98615be6bff352f3934412749ea2c6580e2ba26dbb2c45a44791
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FFirmware.c,wlan_backports_8197f,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FFirmware.h,wlan_backports_8197f,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FGen.c,wlan_backports_8197f,13799,8197F RTL8197F rtl8197F,fc52b7bdfd2aa2a8662702e2fbce8cf04b97e2238807c27e56742c39db8a6407
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FHWImg.c,wlan_backports_8197f,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FHWImg.h,wlan_backports_8197f,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FIsr.c,wlan_backports_8197f,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
